oid,classALeRCE
ZTF18acvwhde,EB/EW
ZTF18aabjpls,EB/EW
ZTF17aabtkqr,RRL
ZTF18abvppeb,LPV
ZTF18aabypvu,EA
ZTF18abcoxqo,RRL
ZTF18abeicxk,QSO
ZTF17aaascna,RRL
ZTF17aaabbhj,RRL
ZTF17aaaploh,EB/EW
ZTF17aackrsr,RRL
ZTF18aaacqwi,RRL
ZTF18adazxep,EB/EW
ZTF17aaawcmv,RRL
ZTF18aabffbv,EB/EW
ZTF17aaabgil,EB/EW
ZTF18aabjplw,EB/EW
ZTF17aaabgis,RSCVn
ZTF17aaabcya,LPV
ZTF17aaapgaf,EB/EW
ZTF17aaabdbg,RRL
ZTF18aabhacp,RRL
ZTF18aabogqe,EA
ZTF18aaamrtn,RRL
ZTF17aabtprg,RRL
ZTF18aceifsw,QSO
ZTF18abaphqf,LPV
ZTF18acwwllt,EB/EW
ZTF18aaazmdr,EA
ZTF19aaptqun,QSO
ZTF18acssljn,EB/EW
ZTF18aczaysk,EB/EW
ZTF18acuseuu,AGN
ZTF18abccnxz,RRL
ZTF18acidfhz,AGN
ZTF18abccosz,RSCVn
ZTF17aaarwuk,EB/EW
ZTF18abatadn,EB/EW
ZTF18aaakvuu,EB/EW
ZTF18abwwfyd,EA
ZTF17aaajgyz,RRL
ZTF17aabtgyo,RRL
ZTF19aadxjso,EA
ZTF18aaezvma,EB/EW
ZTF18aaatilm,EB/EW
ZTF18abchixq,EB/EW
ZTF18aaacxlh,RRL
ZTF17aacmhpe,EB/EW
ZTF18abccopp,RRL
ZTF18acruhtf,EB/EW
ZTF18abccmvz,EA
ZTF17aaabgfp,RSCVn
ZTF17aaajlnf,EB/EW
ZTF17aadhilf,RRL
ZTF18aaadbwi,EB/EW
ZTF17aaabgkl,YSO
ZTF18acwwcgl,LPV
ZTF19aakpvzh,RRL
ZTF18aczegyi,EB/EW
ZTF17aaaplnb,RRL
ZTF17aaabgxw,EB/EW
ZTF18aaasuzq,EB/EW
ZTF18aaaatnn,EB/EW
ZTF18acexxbn,EA
ZTF17aacqdtj,RRL
ZTF18acdvylu,EB/EW
ZTF18aabrwsc,EA
ZTF18abncrip,EB/EW
ZTF18abcdcqh,RRL
ZTF18aaayucy,EA
ZTF17aaawqad,EB/EW
ZTF19aalcwec,QSO
ZTF17aaabgha,RSCVn
ZTF17aaabmmd,EA
ZTF18aaaivaq,CV/Nova
ZTF18aaajtcy,RRL
ZTF19aaalypp,RRL
ZTF17aabwpbf,EB/EW
ZTF18abikeel,EA
ZTF18abskqxc,EA
ZTF18achtvuq,EB/EW
ZTF18aaabybl,RRL
ZTF18abwblle,EA
ZTF18acvvuya,EB/EW
ZTF18abcxivs,EB/EW
ZTF18aaewbrq,EA
ZTF18aaynlvo,EB/EW
ZTF17aaabper,EB/EW
ZTF18abcxixg,EB/EW
ZTF19aatvlos,QSO
ZTF18aayemxf,LPV
ZTF18aacgona,QSO
ZTF18acruimm,EB/EW
ZTF18acduofw,Blazar
ZTF17aaabrfz,LPV
ZTF18abcxiyr,RRL
ZTF18aazmhcz,EB/EW
ZTF18aahofef,EB/EW
ZTF18abktvgt,EA
ZTF17aabtrba,RRL
ZTF18abcoxnq,EB/EW
ZTF17aaabmqb,EA
ZTF18abbqjdn,RRL
ZTF18acptebp,RRL
ZTF18abcxhfr,EB/EW
ZTF18abvbcuy,RRL
ZTF18aboikvy,RRL
ZTF17aaajixs,RRL
ZTF18abmecib,LPV
ZTF18adacqcd,AGN
ZTF17aaansen,EA
ZTF18aaadvph,EB/EW
ZTF17aaagobz,RRL
ZTF18acwynqc,AGN
ZTF18aaaamqb,EB/EW
ZTF17aaadyvm,LPV
ZTF17aaaeczv,LPV
ZTF17aaaoljr,EB/EW
ZTF17aaarwrb,RRL
ZTF17aaajkif,EB/EW
ZTF18abzylua,RRL
ZTF17aaacdwy,EB/EW
ZTF18adazxej,RRL
ZTF18acxfhuy,EB/EW
ZTF18aalmaej,DSCT
ZTF19aakrztn,EB/EW
ZTF17aabwkzj,RRL
ZTF18acrfyir,EB/EW
ZTF18aayufzu,LPV
ZTF18aaardmj,EB/EW
ZTF18abjuvpg,LPV
ZTF17aaabxbq,EB/EW
ZTF17aaabxbr,EA
ZTF18abjuxwo,LPV
ZTF18aakajdt,EA
ZTF17aaabzrr,EA
ZTF17aaabzsy,EB/EW
ZTF17aaabzrx,EB/EW
ZTF19aaaktlz,RRL
ZTF18aaacikw,DSCT
ZTF18abccqbq,EB/EW
ZTF19aatqmrb,QSO
ZTF18acrfvls,EB/EW
ZTF17aaaccrp,RSCVn
ZTF17aaaccrq,EB/EW
ZTF18aceieuk,RRL
ZTF18aalmpkv,EB/EW
ZTF17aaacdyq,EB/EW
ZTF18aczecyt,EB/EW
ZTF17aaachsk,EB/EW
ZTF19aaerdac,EB/EW
ZTF17aaacivm,EB/EW
ZTF17aaacjbu,EB/EW
ZTF18aazdjbi,RRL
ZTF19aauczln,Blazar
ZTF18abmedeg,LPV
ZTF17aabumez,RRL
ZTF18abcqrvw,LPV
ZTF18abasdqe,LPV
ZTF18abtxynp,RSCVn
ZTF17aaacqwf,RRL
ZTF18aabpvpo,EB/EW
ZTF19aaaoslf,EA
ZTF19aaaltvf,LPV
ZTF18aaazuuf,EB/EW
ZTF18aaahqpy,EA
ZTF17aaadaqf,EB/EW
ZTF17aaadapt,EB/EW
ZTF17aabjcmy,EB/EW
ZTF17aaadavt,EB/EW
ZTF17aaadavq,YSO
ZTF19aaaktoq,RRL
ZTF17aaanupj,EB/EW
ZTF18abpuavt,LPV
ZTF19aaakuwz,RRL
ZTF17aaadmma,RRL
ZTF17aaaddnm,RRL
ZTF18acpefgn,EB/EW
ZTF18abzyltn,QSO
ZTF18acqyphc,CV/Nova
ZTF18abdkwfh,LPV
ZTF18aabfrzz,RRL
ZTF19aaaodpe,LPV
ZTF19aaneqoo,EB/EW
ZTF18acaxgvz,EA
ZTF19aaakute,LPV
ZTF18aafgaxs,QSO
ZTF18abcjfxs,LPV
ZTF17aaawcmg,RRL
ZTF18aafjhsf,EB/EW
ZTF18aazwmyz,LPV
ZTF18absuwjm,EB/EW
ZTF17aaadhpi,EB/EW
ZTF18abnbqew,LPV
ZTF18abvifzi,LPV
ZTF17aaadinc,EA
ZTF17aaadjla,YSO
ZTF18aayenbl,LPV
ZTF17aaadiqn,EB/EW
ZTF18accputw,AGN
ZTF17aaadivd,RRL
ZTF17aaadjce,EB/EW
ZTF17aaadjua,RRL
ZTF17aaadjun,YSO
ZTF19aaaornw,LPV
ZTF19aaakuzp,EB/EW
ZTF18acrxsnc,RRL
ZTF18acvrgwv,YSO
ZTF17aaadmrl,RRL
ZTF18acpefpe,RRL
ZTF18abnbyvw,EB/EW
ZTF19aaljmqe,LPV
ZTF19aaaosmu,LPV
ZTF17aaadoqo,EB/EW
ZTF18aaxaqmv,RRL
ZTF17aaadorg,EB/EW
ZTF17aaadorz,RRL
ZTF17aaadosb,RRL
ZTF19aacewwu,LPV
ZTF17aaadoso,EB/EW
ZTF17aaadosn,LPV
ZTF17aaadost,EB/EW
ZTF19aaakufn,EB/EW
ZTF17aaadosw,RRL
ZTF17aaadotg,RRL
ZTF17aaadotp,RRL
ZTF17aaadouq,RRL
ZTF17aaadots,RRL
ZTF17aaadouw,RRL
ZTF18acbbifp,LPV
ZTF17aaadoux,RRL
ZTF17aaadovg,RRL
ZTF17aaadoxg,RRL
ZTF17aaadowi,RRL
ZTF18aaagbry,RRL
ZTF17aaadowg,RRL
ZTF17aaadoxa,RRL
ZTF17aaadoyl,EB/EW
ZTF17aaadoym,EB/EW
ZTF17aaadoxz,RRL
ZTF17aaadoyi,RRL
ZTF17aaadoze,EB/EW
ZTF17aaadozf,RRL
ZTF18aczeczf,LPV
ZTF17aaadpay,EA
ZTF18aadkghv,QSO
ZTF17aaadpau,RRL
ZTF18acqpfye,EB/EW
ZTF17aaadpbl,LPV
ZTF18acaqjda,CV/Nova
ZTF17aaadpbe,RRL
ZTF17aaadpch,EB/EW
ZTF18aazmzot,LPV
ZTF17aaadpde,RRL
ZTF17aaadpdd,EB/EW
ZTF17aaadpcv,RRL
ZTF17aaadphs,RRL
ZTF17aackpph,EB/EW
ZTF18acqpbxm,EB/EW
ZTF17aaadpyw,RRL
ZTF18acehxto,LPV
ZTF17aaadpqx,EA
ZTF18acqoywb,EB/EW
ZTF17aaadqes,EA
ZTF17aaadwnx,LPV
ZTF18acqoyuf,EB/EW
ZTF17aaadqia,Blazar
ZTF18aaaxwer,EB/EW
ZTF18abcorxn,LPV
ZTF18abmadme,EA
ZTF17aaadspb,RRL
ZTF18abesbey,LPV
ZTF18adauldp,LPV
ZTF17aaaduyk,EB/EW
ZTF17aaaslor,Ceph
ZTF18abnbpxo,RRL
ZTF19abbykhd,QSO
ZTF19aaallty,LPV
ZTF17aabztqx,EB/EW
ZTF17aadrjrx,EB/EW
ZTF18abgjkog,LPV
ZTF17aaadyvd,LPV
ZTF19aaakutn,LPV
ZTF18aabipvv,RRL
ZTF18aagigvg,EA
ZTF18acuqtri,LPV
ZTF18absitoh,LPV
ZTF18acwwljl,EB/EW
ZTF19aakqkmw,LPV
ZTF18abccnpu,RSCVn
ZTF19aaakxnp,LPV
ZTF19acvrgjl,QSO
ZTF17aaadypq,YSO
ZTF18abmjhbc,RRL
ZTF17aaadyqh,LPV
ZTF17aabnxmr,RRL
ZTF19aaakufg,EB/EW
ZTF18aabjtbv,EB/EW
ZTF17aabidkt,EB/EW
ZTF17aaadyti,LPV
ZTF18abzrwzn,EB/EW
ZTF19aaalibp,LPV
ZTF19aahvksf,QSO
ZTF18acqyphj,EB/EW
ZTF18aalmrkt,AGN
ZTF18acpeffn,EB/EW
ZTF18aadfkpy,QSO
ZTF17aaadzcn,LPV
ZTF17aaadzcs,YSO
ZTF18acwvzne,LPV
ZTF17aacqbxc,EA
ZTF17aaadnyp,DSCT
ZTF18acrvcld,CV/Nova
ZTF18abjrcqq,LPV
ZTF18aaahbuf,EB/EW
ZTF18aaggdxi,QSO
ZTF18acwwljq,AGN
ZTF17aaaiwff,EB/EW
ZTF18aabitjv,EA
ZTF18abnbyqo,EB/EW
ZTF17aabtfhe,EB/EW
ZTF17aaadzhk,EA
ZTF18aabipyf,EB/EW
ZTF18aabiscy,EB/EW
ZTF17aaawfpp,LPV
ZTF17aaawmhh,DSCT
ZTF17aaapjny,EB/EW
ZTF17aaadznr,LPV
ZTF18acqpaek,EB/EW
ZTF18acrunfm,EA
ZTF17aackeoi,EB/EW
ZTF17aaaehkp,RRL
ZTF18abmnsxb,EB/EW
ZTF18abncdcb,EB/EW
ZTF18acuxqme,EB/EW
ZTF18acvwhrw,Blazar
ZTF18acwwcth,LPV
ZTF17aaagrws,EB/EW
ZTF19aaerbyn,EA
ZTF17aaadzts,EB/EW
ZTF18actbhlm,EB/EW
ZTF18aaadsud,EB/EW
ZTF18acmtrcw,YSO
ZTF17aaaeadj,LPV
ZTF19aacfden,LPV
ZTF18acqvioe,RRL
ZTF18aayxost,LPV
ZTF18aabisxg,EB/EW
ZTF18abnofpf,LPV
ZTF18acrvdnc,LPV
ZTF18aazrdje,RRL
ZTF17aaaeall,Ceph
ZTF18abwnlxa,Blazar
ZTF18acrvdbv,EA
ZTF17aaaedhm,LPV
ZTF18acquvoh,EB/EW
ZTF17aacmgyz,RRL
ZTF17aaaugot,LPV
ZTF17aaaafaj,LPV
ZTF18abtecyj,EB/EW
ZTF18adbzial,LPV
ZTF18acavjkv,RRL
ZTF18acuxsps,RRL
ZTF17aaaeaue,LPV
ZTF18accptqo,AGN
ZTF17aaaeavq,LPV
ZTF17aaaowjp,LPV
ZTF17aadcejd,EB/EW
ZTF17aabhklc,YSO
ZTF17aabwdzb,EB/EW
ZTF17aaaeayn,YSO
ZTF17aaaaaul,LPV
ZTF17aaaeayr,YSO
ZTF17aaaeazv,RRL
ZTF18adfavhh,LPV
ZTF18abajxfs,LPV
ZTF17aabvani,Ceph
ZTF17aaaebdz,LPV
ZTF17aaaebem,LPV
ZTF17aaaebhn,LPV
ZTF18aaabysh,EB/EW
ZTF17aaaebjr,LPV
ZTF18abnyhky,EB/EW
ZTF18aaaatwh,LPV
ZTF18acrwltg,EB/EW
ZTF18achdhgh,EB/EW
ZTF17aaaojec,EB/EW
ZTF18acrvrdu,LPV
ZTF18abzfgkz,EB/EW
ZTF18abncfzz,RRL
ZTF17aaaebpr,LPV
ZTF18actaarj,EA
ZTF17aadpvbx,RRL
ZTF19abegljb,QSO
ZTF18aagbtrc,QSO
ZTF18aazvmcl,DSCT
ZTF18aaasfll,EB/EW
ZTF17aaaeccy,EB/EW
ZTF18adbeefb,LPV
ZTF18acnatum,EB/EW
ZTF18aczrcdl,EA
ZTF17aaaecgi,EB/EW
ZTF19abucwzt,SNIbc
ZTF17aaanpsy,EB/EW
ZTF18acxhkzz,LPV
ZTF17aaaecif,LPV
ZTF17aaahshy,LPV
ZTF19acevxjd,YSO
ZTF18achsczj,EB/EW
ZTF17aaaecox,LPV
ZTF17aaahsul,EA
ZTF18acpvlql,EB/EW
ZTF18acpgzkw,LPV
ZTF19aaamgew,LPV
ZTF18abscemg,RRL
ZTF17aaaecuw,LPV
ZTF17aaaeavg,LPV
ZTF17aaadaxo,EB/EW
ZTF18aackzjj,EB/EW
ZTF17aaaeczp,Ceph
ZTF18abwblld,EA
ZTF18abutduf,RRL
ZTF17aaarpfg,YSO
ZTF18aallweb,CV/Nova
ZTF18acmfwcd,EB/EW
ZTF18aagqedz,EB/EW
ZTF17aaadovu,RRL
ZTF17aaaedev,YSO
ZTF18acvefvf,EB/EW
ZTF18acuauuc,EB/EW
ZTF18abscyar,LPV
ZTF18acuxxag,EA
ZTF18abueqxj,RRL
ZTF18abnbqck,LPV
ZTF18abcpfdh,LPV
ZTF18adaueps,RRL
ZTF18acrwlgv,EA
ZTF18actacrk,EB/EW
ZTF17aaaednp,LPV
ZTF17aaborkt,LPV
ZTF17aaapnbd,RRL
ZTF17aaaedqk,LPV
ZTF18absqqhk,EB/EW
ZTF18adaubdj,RRL
ZTF18adbeeex,LPV
ZTF18acpdnkp,LPV
ZTF18abcjxex,LPV
ZTF18abaphtu,EA
ZTF18aacidme,QSO
ZTF18acgrtkx,EB/EW
ZTF17aabocoy,EB/EW
ZTF17aaakher,YSO
ZTF17aaadyvh,EB/EW
ZTF17aabsahb,RRL
ZTF17aaabmmm,EB/EW
ZTF18aaamezw,RRL
ZTF17aaaeepj,EB/EW
ZTF18acpdnnv,EB/EW
ZTF18acuxpjm,LPV
ZTF17aabgvqn,LPV
ZTF18abvpguf,EB/EW
ZTF17aaaabrl,EB/EW
ZTF19aabmcft,RSCVn
ZTF17aacdzgw,EB/EW
ZTF17aaaegdy,DSCT
ZTF17aaaegus,RRL
ZTF17aaaegwd,EB/EW
ZTF18acrwltq,EB/EW
ZTF18acpvmjm,Ceph
ZTF17aaacchh,EB/EW
ZTF18abmegza,RRL
ZTF18abjheii,RRL
ZTF17aaaehpp,EA
ZTF19aampokp,LPV
ZTF18abskrpe,EA
ZTF18abnbqvu,LPV
ZTF18acrvqww,LPV
ZTF19aampocb,LPV
ZTF17aaaehtm,EB/EW
ZTF17aaaehua,EB/EW
ZTF17aaaehtz,EB/EW
ZTF17aaaewmi,CV/Nova
ZTF18abqdsqi,EB/EW
ZTF19abuzxco,RRL
ZTF18aaabbxx,RRL
ZTF18abmjjft,EA
ZTF18aafdlwq,QSO
ZTF18abaqogk,LPV
ZTF18acrvrxm,EB/EW
ZTF19abxwbjp,AGN
ZTF17aaaczyu,RRL
ZTF18aaapqyx,EB/EW
ZTF18acpdnns,LPV
ZTF17aaanppw,EB/EW
ZTF18aczrcii,LPV
ZTF17aabvssb,EB/EW
ZTF18acwgdsb,YSO
ZTF18acrumiu,EB/EW
ZTF18acwgclj,EB/EW
ZTF17aaahsmf,LPV
ZTF17aaapdnv,RRL
ZTF18acvdphp,LPV
ZTF18achrnlu,EB/EW
ZTF18aceoqyo,LPV
ZTF17aaawcnu,LPV
ZTF18aapmpro,RRL
ZTF17aaahrls,EA
ZTF18abskqvv,RRL
ZTF17aabstrk,RRL
ZTF17aaawfwn,CV/Nova
ZTF18actauns,EA
ZTF18aaacfyc,EB/EW
ZTF18actabff,YSO
ZTF18abaqyva,RRL
ZTF17aaaejlr,YSO
ZTF18aaabbmh,EB/EW
ZTF19aaceowi,LPV
ZTF18acrwnat,EA
ZTF17aaaejuo,RRL
ZTF18acskndy,EB/EW
ZTF17aaagatg,YSO
ZTF18abcosec,RRL
ZTF17aaanpql,EB/EW
ZTF18abatafc,RRL
ZTF18aaabngk,DSCT
ZTF18acrwodz,DSCT
ZTF17aabvssh,RRL
ZTF18abnyhfj,RRL
ZTF17aacaigm,EB/EW
ZTF17aaanpmp,EB/EW
ZTF18actabnj,EB/EW
ZTF17aaavszt,YSO
ZTF18aczecyf,EA
ZTF18acuwups,EB/EW
ZTF17aaaazac,YSO
ZTF18actabom,EA
ZTF17aaaencp,EA
ZTF18acdwcbd,EB/EW
ZTF18acclmzx,QSO
ZTF18abkhurq,LPV
ZTF18actbgwp,YSO
ZTF17aaaengg,EA
ZTF17aaanprp,EB/EW
ZTF18abukmgz,EA
ZTF19aatjomq,QSO
ZTF18acuxxad,DSCT
ZTF18acpbbpk,RRL
ZTF17aabsafy,YSO
ZTF18acxbdwd,LPV
ZTF18acszigc,YSO
ZTF19aampnxc,LPV
ZTF18abtpkca,LPV
ZTF18acrvrkb,EB/EW
ZTF18abxptpb,QSO
ZTF18abzrxab,EB/EW
ZTF18acrgbgv,RSCVn
ZTF18abwtlnl,RSCVn
ZTF18aceifab,QSO
ZTF18abccngi,EB/EW
ZTF18adavjnd,LPV
ZTF17aabsaim,EB/EW
ZTF18actaavz,YSO
ZTF17aabbzdf,RSCVn
ZTF18aabsbbh,EA
ZTF17aaarzyt,EB/EW
ZTF17aaasafn,EB/EW
ZTF17aaaeigi,LPV
ZTF17aaakhev,YSO
ZTF17aaaepch,EB/EW
ZTF18aczedmi,LPV
ZTF18acrjvyd,RRL
ZTF17aaadoxi,RRL
ZTF18accptfb,EB/EW
ZTF18abvwsib,DSCT
ZTF18abvwtaf,EB/EW
ZTF18aceoius,EB/EW
ZTF18abiicqm,EB/EW
ZTF19aaarxab,EB/EW
ZTF18adbebyp,LPV
ZTF18acipekb,AGN
ZTF18adauaei,RRL
ZTF18abnyhni,EB/EW
ZTF18aabfpka,EA
ZTF17aabpmmy,EA
ZTF17aaagywl,EB/EW
ZTF18abcdpui,EB/EW
ZTF18abydmfq,EA
ZTF17aaapdko,EB/EW
ZTF17aaafiwn,LPV
ZTF18abcuexk,Ceph
ZTF18aaadvnw,LPV
ZTF18aazvkhy,LPV
ZTF18abchaxt,LPV
ZTF17aabzyfr,EA
ZTF17aaagyym,EB/EW
ZTF18abmjicq,EA
ZTF18acpvlzd,LPV
ZTF18abvmyxa,EB/EW
ZTF18acqovpu,RRL
ZTF18adaubzu,EB/EW
ZTF17aaaccro,EB/EW
ZTF18acsmwsk,EA
ZTF19aaipvmy,QSO
ZTF18acveges,LPV
ZTF18acqvlti,RRL
ZTF18abgjmft,RRL
ZTF17aaabgjv,EB/EW
ZTF18acywdbg,EA
ZTF18aczbsxc,EA
ZTF18aborszx,EB/EW
ZTF17aaaeyos,RRL
ZTF17aaaezfl,RRL
ZTF17aaaezge,RRL
ZTF18aaypohm,LPV
ZTF18abjuhxi,RRL
ZTF18acbzrfv,EB/EW
ZTF17aaaffgz,EA
ZTF17aaaffbr,RRL
ZTF18abxbjky,LPV
ZTF18abjgjfq,EB/EW
ZTF17aacpgan,RRL
ZTF18abajxcl,EB/EW
ZTF18adaujby,EB/EW
ZTF17aaasrxu,YSO
ZTF18abtsjej,EA
ZTF19achtgmf,LPV
ZTF18adauagg,CV/Nova
ZTF18acpbwnr,EB/EW
ZTF18actabfv,YSO
ZTF17aaanpmd,EB/EW
ZTF17aaatgri,EB/EW
ZTF18acvqwmt,EB/EW
ZTF18achkrqm,EB/EW
ZTF18abbogmn,LPV
ZTF18acpdowb,LPV
ZTF18abnbywv,EA
ZTF18abvhypn,LPV
ZTF18abudxui,EB/EW
ZTF18aacogxf,QSO
ZTF18adaucch,RRL
ZTF18abapziq,EB/EW
ZTF17aaaslud,CV/Nova
ZTF18abasczw,EA
ZTF18abwklck,EB/EW
ZTF17aaafpeh,RRL
ZTF18aczbypd,EB/EW
ZTF17aaafszy,EB/EW
ZTF18aaxvbtb,LPV
ZTF18aaaajkc,EB/EW
ZTF18adaiqnl,EB/EW
ZTF19aaufviq,EB/EW
ZTF18abascpg,EB/EW
ZTF18achyvfn,EB/EW
ZTF18acvftix,EA
ZTF18adaubcx,LPV
ZTF18abadlus,LPV
ZTF17aabwlir,EB/EW
ZTF18acrvboh,EB/EW
ZTF18abcosbv,EB/EW
ZTF18abcpcir,Ceph
ZTF18acrvphf,EA
ZTF18aaaihby,RRL
ZTF18acujhnn,RSCVn
ZTF17aaafwvs,EB/EW
ZTF18abvpext,RRL
ZTF17aabqsvz,YSO
ZTF18abskeeb,RSCVn
ZTF18abajvwt,LPV
ZTF17aaadavp,YSO
ZTF19aadvyzg,LPV
ZTF18abmejwo,EB/EW
ZTF17aaanppi,YSO
ZTF18acrunqb,YSO
ZTF18aaznfek,LPV
ZTF18acmznzv,EA
ZTF18acebhre,EB/EW
ZTF18acrukud,EB/EW
ZTF17aabsztg,EB/EW
ZTF18abyyrqz,EA
ZTF17aaaidha,EA
ZTF17aaasizt,RRL
ZTF18abmjguj,EB/EW
